Date,sulfate,nitrate,ID
1/1/2006,NA,NA,71
1/2/2006,NA,NA,71
1/3/2006,NA,NA,71
1/4/2006,NA,NA,71
1/5/2006,NA,NA,71
1/6/2006,NA,NA,71
1/7/2006,NA,NA,71
1/8/2006,NA,NA,71
1/9/2006,NA,NA,71
1/10/2006,NA,NA,71
1/11/2006,NA,NA,71
1/12/2006,NA,NA,71
1/13/2006,NA,NA,71
1/14/2006,NA,NA,71
1/15/2006,NA,NA,71
1/16/2006,NA,NA,71
1/17/2006,NA,NA,71
1/18/2006,NA,NA,71
1/19/2006,NA,NA,71
1/20/2006,NA,NA,71
1/21/2006,NA,NA,71
1/22/2006,NA,NA,71
1/23/2006,NA,NA,71
1/24/2006,NA,NA,71
1/25/2006,NA,NA,71
1/26/2006,NA,NA,71
1/27/2006,NA,NA,71
1/28/2006,NA,NA,71
1/29/2006,NA,NA,71
1/30/2006,NA,NA,71
1/31/2006,NA,NA,71
2/1/2006,NA,NA,71
2/2/2006,NA,NA,71
2/3/2006,NA,NA,71
2/4/2006,NA,NA,71
2/5/2006,NA,NA,71
2/6/2006,NA,NA,71
2/7/2006,NA,NA,71
2/8/2006,NA,NA,71
2/9/2006,NA,NA,71
2/10/2006,NA,NA,71
2/11/2006,NA,NA,71
2/12/2006,NA,NA,71
2/13/2006,NA,NA,71
2/14/2006,NA,NA,71
2/15/2006,NA,NA,71
2/16/2006,NA,NA,71
2/17/2006,NA,NA,71
2/18/2006,NA,NA,71
2/19/2006,NA,NA,71
2/20/2006,NA,NA,71
2/21/2006,NA,NA,71
2/22/2006,NA,NA,71
2/23/2006,NA,NA,71
2/24/2006,NA,NA,71
2/25/2006,NA,NA,71
2/26/2006,NA,NA,71
2/27/2006,NA,NA,71
2/28/2006,NA,NA,71
3/1/2006,NA,NA,71
3/2/2006,NA,NA,71
3/3/2006,NA,NA,71
3/4/2006,NA,NA,71
3/5/2006,NA,NA,71
3/6/2006,NA,NA,71
3/7/2006,NA,NA,71
3/8/2006,NA,NA,71
3/9/2006,NA,NA,71
3/10/2006,NA,NA,71
3/11/2006,NA,NA,71
3/12/2006,NA,NA,71
3/13/2006,NA,NA,71
3/14/2006,NA,NA,71
3/15/2006,NA,NA,71
3/16/2006,NA,NA,71
3/17/2006,NA,NA,71
3/18/2006,NA,NA,71
3/19/2006,NA,NA,71
3/20/2006,NA,NA,71
3/21/2006,NA,NA,71
3/22/2006,NA,NA,71
3/23/2006,NA,NA,71
3/24/2006,NA,NA,71
3/25/2006,NA,NA,71
3/26/2006,NA,NA,71
3/27/2006,NA,NA,71
3/28/2006,NA,NA,71
3/29/2006,NA,NA,71
3/30/2006,NA,NA,71
3/31/2006,NA,NA,71
4/1/2006,NA,NA,71
4/2/2006,NA,NA,71
4/3/2006,NA,NA,71
4/4/2006,NA,NA,71
4/5/2006,NA,NA,71
4/6/2006,NA,NA,71
4/7/2006,NA,NA,71
4/8/2006,NA,NA,71
4/9/2006,NA,NA,71
4/10/2006,NA,NA,71
4/11/2006,NA,NA,71
4/12/2006,NA,NA,71
4/13/2006,NA,NA,71
4/14/2006,NA,NA,71
4/15/2006,NA,NA,71
4/16/2006,NA,NA,71
4/17/2006,NA,NA,71
4/18/2006,NA,NA,71
4/19/2006,NA,NA,71
4/20/2006,NA,NA,71
4/21/2006,NA,NA,71
4/22/2006,NA,NA,71
4/23/2006,NA,NA,71
4/24/2006,NA,NA,71
4/25/2006,NA,NA,71
4/26/2006,NA,NA,71
4/27/2006,NA,NA,71
4/28/2006,NA,NA,71
4/29/2006,NA,NA,71
4/30/2006,NA,NA,71
5/1/2006,NA,NA,71
5/2/2006,NA,NA,71
